Date,No of Trans,Max,Min,Close,Volume
2016-03-31,40.0,663.0,655.0,658.0,7572.0
2016-04-03,72.0,690.0,652.0,670.0,15676.0
2016-04-04,78.0,680.0,670.0,680.0,12643.0
2016-04-05,114.0,685.0,670.0,684.0,22777.0
2016-04-06,104.0,689.0,677.0,680.0,17535.0
2016-04-10,193.0,685.0,670.0,671.0,35135.0
2016-04-11,22.0,584.0,572.0,576.0,2445.0
2016-04-12,9.0,565.0,560.0,560.0,1071.0
2016-04-14,17.0,591.0,560.0,591.0,3092.0
2016-04-17,35.0,602.0,582.0,595.0,7426.0
2016-04-18,43.0,612.0,570.0,612.0,12148.0
2016-04-19,27.0,605.0,590.0,599.0,2370.0
2016-04-20,54.0,607.0,596.0,605.0,12246.0
2016-04-21,66.0,630.0,595.0,630.0,26726.0
2016-04-24,53.0,649.0,622.0,640.0,11906.0
2016-04-25,55.0,663.0,641.0,655.0,11479.0
2016-04-26,38.0,651.0,638.0,638.0,6470.0
2016-04-27,55.0,655.0,632.0,647.0,10197.0
2016-04-28,40.0,651.0,638.0,638.0,7618.0
2016-05-02,39.0,645.0,627.0,640.0,18127.0
2016-05-03,39.0,644.0,635.0,640.0,7259.0
2016-05-04,27.0,639.0,629.0,632.0,5406.0
2016-05-05,26.0,632.0,610.0,632.0,6608.0
2016-05-08,36.0,644.0,617.0,634.0,5668.0
2016-05-09,71.0,663.0,640.0,649.0,20133.0
2016-05-10,34.0,659.0,637.0,642.0,3444.0
2016-05-11,41.0,655.0,640.0,655.0,11538.0
2016-05-12,92.0,673.0,655.0,673.0,26491.0
2016-05-15,31.0,667.0,654.0,666.0,4754.0
2016-05-16,24.0,663.0,653.0,663.0,4406.0
2016-05-17,69.0,680.0,662.0,680.0,16189.0
2016-05-18,43.0,693.0,680.0,683.0,7927.0
2016-05-19,52.0,694.0,675.0,684.0,14300.0
2016-05-22,24.0,686.0,670.0,680.0,2404.0
2016-05-23,40.0,690.0,677.0,685.0,14290.0
2016-05-24,49.0,695.0,685.0,690.0,7665.0
2016-05-25,43.0,692.0,671.0,682.0,13438.0
